
2024/06/10 (15:23:03) | ===> btop++ v.1.3.2
2024/06/10 (15:23:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/10 (15:23:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/10 (15:23:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/10 (15:23:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/10 (15:23:13) | ===> btop++ v.1.3.2
2024/06/10 (15:23:13) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/10 (15:23:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/10 (15:23:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/10 (15:23:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/22 (16:07:11) | ===> btop++ v.1.3.2
2024/06/22 (16:07:11) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/22 (16:07:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/22 (16:07:11) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/22 (16:07:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/22 (16:07:42) | ===> btop++ v.1.3.2
2024/06/22 (16:07:42) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/22 (16:07:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/22 (16:07:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/22 (16:07:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/25 (14:33:34) | ===> btop++ v.1.3.2
2024/06/25 (14:33:34) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/25 (14:33:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/25 (14:33:34) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/25 (14:33:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/25 (14:34:28) | ===> btop++ v.1.3.2
2024/06/25 (14:34:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/25 (14:34:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/25 (14:34:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/25 (14:34:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/25 (14:40:56) | ===> btop++ v.1.3.2
2024/08/25 (14:40:56) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
